Name,ShortName,Founded,Stadium,Country
Arsenal,ARS,1886,Emirates Stadium,England
Aston Villa,AVL,1872,Villa Park,England
Chelsea,CHE,1905,Stamford Bridge,England
Everton,EVE,1878,Goodison Park,England
Fulham,FUL,1879,Craven Cottage,England
Liverpool,LIV,1892,Anfield,England
Man City,MCI,1880,Etihad Stadium,England
Man United,MUN,1878,Old Trafford,England
Newcastle,NEW,1881,St. James' Park,England
Sunderland,SUN,1879,Stadium of Light,England
Tottenham,TOT,1882,Tottenham Hotspur Stadium,England
Wolverhampton,WOL,1877,Molineux Stadium,England
Burnley,BUR,1881,Turf Moor,England
Leeds United,LEE,1904,Elland Road,England
Nottingham,NOT,1865,The City Ground,England
Crystal Palace,CRY,1905,Selhurst Park,England
Brighton Hove,BHA,1898,The American Express Community Stadium,England
Brentford,BRE,1889,Griffin Park,England
West Ham,WHU,1895,London Stadium,England
Bournemouth,BOU,1890,Vitality Stadium,England
